location,title,name,type_appoitment,pay_plan,pay_level_grade,tenure,expires,agency,big_office,little_office,year
"Washington, DC",Inspector General ,George Joseph Opfer,PAS,OT,"$170,259",,,DEPARTMENT OF VETERANS AFFAIRS OFFICE OF THE INSPECTOR GENERAL,IMMEDIATE OFFICE OF,,2012
"Washington, DC",Board Chairperson ,Rafael Moure-Eraso,PAS,EX,IV,,06/24/15,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,John S. Bresland,PAS,EX,IV,,03/14/13,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,Mark A. Griffon,PAS,EX,IV,,06/24/15,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,Vacant,PAS,EX,IV,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,Vacant,PAS,EX,,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",General Counsel ,Career Incumbent,C,ES,,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Chief Operating Officer ,Vacant,,ES,,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Special Assistant - Deepwater Horizon ,Daniel Horowitz,TA,ES,,3 Months,04/22/15,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Chairman ,Dennis C. Shea,XS,PD,,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Vice Chairman ,William A. Reinsch,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Carolyn Bartholomew,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Daniel A. Blumenthal,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Peter T. Brookes,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Robin Cleveland,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,C. Richard D'Amato,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Jeffrey L. Fiedler,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
